strategy,budget,class_id,selected_count
badge,1000,38,2
badge,1000,40,1
badge,1000,41,3
badge,1000,42,5
badge,1000,43,3
badge,1000,45,3
badge,1000,46,13
badge,1000,47,2
badge,1000,48,5
badge,1000,49,15
badge,1000,50,3
badge,1000,51,2
badge,1000,52,2
badge,1000,53,6
badge,1000,54,5
badge,1000,55,4
badge,1000,56,10
badge,1000,60,13
badge,1000,61,11
badge,1000,62,4
badge,1000,63,8
badge,1000,64,1
badge,1000,66,6
badge,1000,67,3
badge,1000,70,1
badge,1000,71,20
badge,1000,72,3
badge,1000,73,1
badge,1000,74,5
badge,1000,75,6
badge,1000,77,22
badge,1000,78,5
badge,1000,79,7
badge,1000,82,27
badge,1000,83,7
badge,1000,85,2
badge,1000,86,12
badge,1000,90,3
badge,1000,91,4
badge,1000,92,1
badge,1000,93,14
badge,1000,94,1
badge,1000,95,1
badge,1000,96,27
badge,1000,97,10
badge,1000,98,4
badge,1000,99,8
badge,1000,100,2
badge,1000,101,25
badge,1000,102,3
badge,1000,103,1
badge,1000,104,5
badge,1000,105,4
badge,1000,106,1
badge,1000,108,1
badge,1000,109,2
badge,1000,110,5
badge,1000,111,4
badge,1000,112,2
badge,1000,115,11
badge,1000,116,2
badge,1000,117,66
badge,1000,118,1
badge,1000,120,1
badge,1000,122,35
badge,1000,123,6
badge,1000,124,12
badge,1000,125,2
badge,1000,126,2
badge,1000,127,9
badge,1000,129,28
badge,1000,130,2
badge,1000,131,7
badge,1000,132,7
badge,1000,133,7
badge,1000,134,2
badge,1000,135,2
badge,1000,136,11
badge,1000,138,11
badge,1000,139,3
badge,1000,140,24
badge,1000,141,4
badge,1000,142,8
badge,1000,143,6
badge,1000,146,2
badge,1000,147,2
badge,1000,148,3
badge,1000,149,37
badge,1000,150,1
badge,1000,151,1
badge,1000,153,59
badge,1000,154,2
badge,1000,155,6
badge,1000,156,5
badge,1000,158,5
badge,1000,159,5
badge,1000,160,1
badge,1000,163,4
badge,1000,164,3
badge,1000,165,4
badge,1000,166,6
badge,1000,168,2
badge,1000,170,1
badge,1000,171,5
badge,1000,172,9
badge,1000,174,1
badge,1000,175,23
badge,1000,176,4
