strategy,budget,class_id,selected_count
random,200,4,1
random,200,5,3
random,200,12,1
random,200,13,2
random,200,14,3
random,200,17,8
random,200,19,2
random,200,26,3
random,200,28,6
random,200,29,4
random,200,30,2
random,200,31,3
random,200,32,6
random,200,38,1
random,200,39,1
random,200,41,13
random,200,42,3
random,200,43,2
random,200,44,2
random,200,47,1
random,200,48,1
random,200,49,8
random,200,50,19
random,200,52,1
random,200,55,12
random,200,56,1
random,200,57,4
random,200,59,18
random,200,61,6
random,200,62,13
random,200,64,2
random,200,65,1
random,200,66,12
random,200,68,1
random,200,75,2
random,200,78,1
random,200,79,3
random,200,84,1
random,200,88,1
random,200,89,5
random,200,91,10
random,200,93,1
random,200,99,1
random,200,101,9
random,500,4,2
random,500,5,8
random,500,11,1
random,500,12,2
random,500,13,6
random,500,14,7
random,500,16,1
random,500,17,14
random,500,19,11
random,500,24,1
random,500,26,4
random,500,28,19
random,500,29,14
random,500,30,3
random,500,31,3
random,500,32,11
random,500,33,2
random,500,36,3
random,500,38,1
random,500,39,3
random,500,41,40
random,500,42,13
random,500,43,4
random,500,44,5
random,500,47,1
random,500,48,2
random,500,49,22
random,500,50,32
random,500,52,2
random,500,53,1
random,500,54,1
random,500,55,28
random,500,56,2
random,500,57,16
random,500,59,40
random,500,61,16
random,500,62,43
random,500,64,2
random,500,65,1
random,500,66,28
random,500,67,2
random,500,68,1
random,500,75,6
random,500,76,2
random,500,78,1
random,500,79,5
random,500,82,1
random,500,83,1
random,500,84,1
random,500,85,2
random,500,86,1
random,500,88,3
random,500,89,10
random,500,91,23
random,500,93,2
random,500,94,2
random,500,97,1
random,500,98,1
random,500,99,1
random,500,101,19
random,1000,0,1
random,1000,3,1
random,1000,4,3
random,1000,5,12
random,1000,8,1
random,1000,11,2
random,1000,12,5
random,1000,13,12
random,1000,14,12
random,1000,15,1
random,1000,16,1
random,1000,17,27
random,1000,18,3
random,1000,19,27
random,1000,24,1
random,1000,26,11
random,1000,28,32
random,1000,29,33
random,1000,30,6
random,1000,31,4
random,1000,32,21
random,1000,33,2
random,1000,36,5
random,1000,38,2
random,1000,39,3
random,1000,40,1
random,1000,41,72
random,1000,42,27
random,1000,43,13
random,1000,44,9
random,1000,45,1
random,1000,46,1
random,1000,47,4
random,1000,48,2
random,1000,49,41
random,1000,50,65
random,1000,52,2
random,1000,53,3
random,1000,54,2
random,1000,55,56
random,1000,56,4
random,1000,57,36
random,1000,59,70
random,1000,60,11
random,1000,61,34
random,1000,62,100
random,1000,64,2
random,1000,65,4
random,1000,66,55
random,1000,67,4
random,1000,68,4
random,1000,73,2
random,1000,75,10
random,1000,76,2
random,1000,78,2
random,1000,79,6
random,1000,82,1
random,1000,83,1
random,1000,84,1
random,1000,85,3
random,1000,86,1
random,1000,88,3
random,1000,89,27
random,1000,91,43
random,1000,93,2
random,1000,94,2
random,1000,97,1
random,1000,98,1
random,1000,99,2
random,1000,101,39
margin,200,3,1
margin,200,4,2
margin,200,11,3
margin,200,13,4
margin,200,17,2
margin,200,19,5
margin,200,20,1
margin,200,21,1
margin,200,24,1
margin,200,26,1
margin,200,28,11
margin,200,29,4
margin,200,30,1
margin,200,32,9
margin,200,41,13
margin,200,42,8
margin,200,43,2
margin,200,47,5
margin,200,48,2
margin,200,49,10
margin,200,50,22
margin,200,52,2
margin,200,55,6
margin,200,57,3
margin,200,59,10
margin,200,60,9
margin,200,61,16
margin,200,62,16
margin,200,63,1
margin,200,66,1
margin,200,68,3
margin,200,79,1
margin,200,91,1
margin,200,94,1
margin,200,98,1
margin,200,99,2
margin,200,100,2
margin,200,101,17
margin,500,3,1
margin,500,4,3
margin,500,10,1
margin,500,11,4
margin,500,13,6
margin,500,17,6
margin,500,19,14
margin,500,20,1
margin,500,21,1
margin,500,24,1
margin,500,26,3
margin,500,28,33
margin,500,29,10
margin,500,30,3
margin,500,31,1
margin,500,32,24
margin,500,41,44
margin,500,42,17
margin,500,43,5
margin,500,44,2
margin,500,47,7
margin,500,48,7
margin,500,49,20
margin,500,50,58
margin,500,52,5
margin,500,53,2
margin,500,54,1
margin,500,55,10
margin,500,57,9
margin,500,59,27
margin,500,60,19
margin,500,61,36
margin,500,62,45
margin,500,63,1
