method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,890,0,0,0.831152399116993,0.7401953796542524,0.2736330905132714,0.5034284741114535,23886,0.9531574773000766,0.8321626795809953,146256,4,2,,
active_head_ft,random,200,all,5,2,890,3,22,0.8136021670395007,0.6987139668649783,0.5131457757682324,0.5049186165913354,23886,0.9406178208073515,0.8037567798868466,146256,2,1,1290,0.1619994044303894
active_head_ft,random,500,all,5,2,890,8,59,0.8373386749802637,0.7225663192622657,0.69547014987859,0.5747266358774247,23886,0.9392913794989607,0.810052799654214,146256,1,1,1890,0.16128243505954742
active_head_ft,random,1000,all,5,2,890,18,116,0.8442426955569525,0.737642922076366,0.7052666834128778,0.5990124082715734,23886,0.9311207745323269,0.8188082149906319,146256,1,0,2890,0.1562509685754776
active_head_ft,margin,200,all,5,2,890,6,29,0.8179220385826318,0.7081896134545294,0.5213514192413966,0.5230629784822348,23886,0.9374794880210042,0.8114797042324472,146256,2,0,1290,0.18373042345046997
active_head_ft,margin,500,all,5,2,890,19,67,0.8310780110094399,0.7315209370765956,0.6287364983672444,0.5412401940392643,23886,0.9332813696532108,0.8209593149859428,146256,1,0,1890,0.18432287871837616
active_head_ft,margin,1000,all,5,2,890,38,119,0.8359159186529185,0.7349929406682462,0.6280247843925312,0.5450811758836752,23886,0.9353872661634395,0.8190913336107097,146256,0,0,2890,0.18704353272914886
active_head_ft,absorber_random,200,all,5,2,890,7,200,0.7900841322794795,0.6935832338293502,0.5174160596165117,0.5297162960498031,23886,0.937041899135762,0.8108753156346864,146256,2,1,1290,0.17664834856987
active_head_ft,absorber_random,500,all,5,2,890,15,500,0.7826238763039699,0.6972257801795011,0.5185045633425438,0.5595323319702104,23886,0.9345257630456186,0.8137914967759455,146256,1,0,1890,0.1776563674211502
active_head_ft,absorber_random,1000,all,5,2,890,36,1000,0.7890735262777665,0.6980010649914605,0.5677802897094533,0.5597706692750147,23886,0.9262252488786785,0.8088777142083126,146256,1,0,2890,0.17607122659683228
active_head_ft,absorber_margin,200,all,5,2,890,8,200,0.7884093946148372,0.6977089813605243,0.5844427698233274,0.5479567477027504,23886,0.9333223936112023,0.8061570468999661,146256,1,1,1290,0.19418220221996307
active_head_ft,absorber_margin,500,all,5,2,890,25,500,0.808707965693009,0.7152439562500025,0.6030729297496441,0.5584526662123886,23886,0.9322489333770922,0.8086060562831336,146256,0,0,1890,0.19627997279167175
active_head_ft,absorber_margin,1000,all,5,2,890,43,1000,0.8155510014247668,0.7165970469239467,0.588336263920288,0.5530116412143838,23886,0.9239005579258287,0.8103332804509528,146256,0,0,2890,0.19762076437473297
