rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples,period,input_dir
absorber_distance,ref_p97,0.2888748198747636,0.9973634963290752,0.0026365036709248522,0.7883333939857103,0.6841642620109321,0.001594998086002297,0.00039732994278448826,0.006472491909385114,0.00026354061941806327,0.999736459380582,0.9984050019139977,8907,8857,0.005613562366677871,7776,7735,0.005272633744855981,5448,2060925,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
absorber_proto_disagree,ref_p97,0.2888748198747636,0.9974651236732187,0.002534876326781273,0.788311294505212,0.6841410603640597,0.001594998086002297,0.00039732994278448826,0.006472491909385114,0.0002537798557359128,0.9997462201442641,0.9984050019139977,8907,8857,0.005613562366677871,7776,7735,0.005272633744855981,5238,2061135,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
prototype_distance,ref_p99,0.3192392587661743,0.991651555648472,0.008348444351528015,0.7884864834792658,0.6844664499928135,0.0013397983922419294,0.0008741258741258741,0.003236245954692557,0.0023572244292393435,0.9976427755707606,0.998660201607758,8907,8890,0.0019086112046704518,7776,7760,0.002057613168724326,17251,2049122,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
absorber_distance,ref_p99,0.3192392587661743,0.9994197562589135,0.000580243741086435,0.7876033690139427,0.6838476124340157,0.0005422993492407809,3.9732994278448824e-05,0.0025889967637540453,1.9521527364300983e-05,0.9999804784726357,0.9994577006507592,8907,8890,0.0019086112046704518,7776,7760,0.002057613168724326,1199,2065174,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
absorber_proto_disagree,ref_p99,0.3192392587661743,0.9994337905112001,0.0005662094887999408,0.7875942461830628,0.683839155503236,0.0005422993492407809,3.9732994278448824e-05,0.0025889967637540453,1.9521527364300983e-05,0.9999804784726357,0.9994577006507592,8907,8890,0.0019086112046704518,7776,7760,0.002057613168724326,1170,2065203,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p70,0.18611037731170654,0.906951939461075,0.09304806053892496,0.8129028264752006,0.6973256743755463,0.3135447237463315,0.31579783852511123,0.30436893203883497,0.009438658480639526,0.9905613415193605,0.6864552762536685,8907,346,0.961154148422589,7776,311,0.9600051440329218,192272,1874101,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p80,0.2109503149986267,0.9101691708128203,0.08983082918717966,0.8132345145471299,0.6993328541825451,0.3107056271532474,0.314446916719644,0.2954692556634304,0.009399615425910923,0.990600384574089,0.6892943728467525,8907,435,0.9511620074099023,7776,387,0.9502314814814815,185624,1880749,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p85,0.22680793702602386,0.9118489256295935,0.08815107437040651,0.8133853796265829,0.6998679174762229,0.3072923312492025,0.3106325492689129,0.2936893203883495,0.009375213516705547,0.9906247864832944,0.6927076687507975,8907,542,0.9391489839452116,7776,492,0.9367283950617284,182153,1884220,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p90,0.2449350357055664,0.9132973572535065,0.08670264274649349,0.8133485727366228,0.6999354312155306,0.30531453362255967,0.30856643356643354,0.29207119741100324,0.009292247025407268,0.9907077529745927,0.6946854663774403,8907,604,0.932188166610531,7776,552,0.9290123456790124,179160,1887213,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p95,0.2717369496822357,0.9141669969555352,0.08583300304446487,0.8133874357467669,0.7001339557898025,0.3052188337373995,0.3084869675778767,0.2919093851132686,0.009253203970678666,0.9907467960293214,0.6947811662626004,8907,607,0.9318513528685304,7776,555,0.9286265432098766,177363,1889010,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p97,0.2888748198747636,0.9143697677040883,0.08563023229591173,0.8133732466263617,0.7001305800019664,0.30518693377567946,0.3084869675778767,0.291747572815534,0.009233682443314364,0.9907663175566856,0.6948130662243205,8907,608,0.9317390816211968,7776,556,0.9284979423868313,176944,1889429,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p1_margin_p1_dist_p99,0.3192392587661743,0.9144539732178072,0.08554602678219277,0.8133592082569725,0.7001326927316952,0.30518693377567946,0.3084869675778767,0.291747572815534,0.009223921679632215,0.9907760783203677,0.6948130662243205,8907,608,0.9317390816211968,7776,556,0.9284979423868313,176770,1889603,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p70,0.18611037731170654,0.887727433527248,0.11227256647275201,0.8240349851938752,0.707882656048357,0.3470077835906597,0.34329307056579783,0.36213592233009706,0.01508037988892251,0.9849196201110775,0.6529922164093404,8907,333,0.9626136746379252,7776,301,0.9612911522633745,231997,1834376,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p80,0.2109503149986267,0.8909132087962822,0.10908679120371782,0.8243562186881945,0.7098798968658392,0.3444876866147761,0.3420216147488875,0.35453074433656956,0.015046217216034982,0.9849537827839651,0.655512313385224,8907,412,0.9537442460985741,7776,374,0.95190329218107,225414,1840959,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
