class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
0,other,1414,627,396,0.8954758190327613,0.8996865203761756,0.00421070134341428,0.9154704944178629,0.9154704944178629,0.0
1,other,10792,5041,3519,0.9134829189407722,0.9133179677322377,-0.00016495120853443623,0.8964491172386432,0.9039873041063281,0.007538186867684926
2,other,7583,4913,1435,0.7194812517620525,0.720817843866171,0.001336592104118517,0.7791573376755546,0.7893344188886627,0.010177081213108119
3,other,1593,814,847,0.7199638663053297,0.6927083333333334,-0.027255532971996344,0.9791154791154791,0.9803439803439803,0.0012285012285011554
4,other,3737,1306,1260,0.9130752373995618,0.9101491451436886,-0.0029260922558731473,0.9571209800918836,0.9578866768759571,0.0007656967840734552
5,bad,2093,949,434,0.5883185840707965,0.5911816578483245,0.0028630737775280357,0.8756585879873551,0.8830347734457323,0.00737618545837726
6,bad,2729,1455,330,0.22768182923862806,0.22744907856450047,-0.00023275067412759087,0.3216494845360825,0.3223367697594502,0.0006872852233676952
7,other,36,13,3,0.5,0.47619047619047616,-0.023809523809523836,0.38461538461538464,0.38461538461538464,0.0
8,stable,1574,1238,798,0.9058225869480265,0.9066041422430637,0.0007815552950372062,0.9361873990306947,0.9369951534733441,0.0008077544426493555
9,other,1547,1255,140,0.6179268903355033,0.6223325062034739,0.004405615867970614,0.49163346613545816,0.499601593625498,0.007968127490039834
10,bad,2020,1346,942,0.8524470416362309,0.8486388384754991,-0.0038082031607317157,0.8670133729569094,0.8684992570579495,0.0014858841010401136
11,bad,1685,1290,298,0.6829268292682927,0.6753645433614736,-0.007562285906819177,0.6837209302325581,0.6821705426356589,-0.0015503875968991832
12,bad,2788,1813,566,0.8400852878464818,0.8171266443126128,-0.022958643533869005,0.8692774407060121,0.8736900165471594,0.004412575841147293
13,other,2093,1115,75,0.5122425184609405,0.4944859480611882,-0.017756570399752314,0.5910313901345291,0.6233183856502242,0.03228699551569514
14,bad,10401,4897,0,0.3467760309865573,0.3428377460964019,-0.003938284890155408,0.3108025321625485,0.30937308556258936,-0.0014294465999591388
15,stable,751,538,352,0.8309726156751652,0.8326996197718631,0.0017270040966979039,0.8178438661710037,0.8141263940520446,-0.0037174721189591198
