strategy,budget,class_id,selected_count
random,200,0,1
random,200,2,2
random,200,6,1
random,200,16,1
random,200,17,3
random,200,18,2
random,200,19,5
random,200,24,1
random,200,25,1
random,200,26,1
random,200,28,1
random,200,29,8
random,200,31,1
random,200,37,1
random,200,39,1
random,200,41,1
random,200,46,2
random,200,48,1
random,200,49,4
random,200,50,1
random,200,51,3
random,200,54,3
random,200,55,1
random,200,56,3
random,200,57,1
random,200,59,1
random,200,60,4
random,200,61,2
random,200,62,1
random,200,66,2
random,200,71,8
random,200,72,1
random,200,73,1
random,200,77,1
random,200,78,1
random,200,79,1
random,200,81,1
random,200,82,9
random,200,86,2
random,200,90,1
random,200,92,2
random,200,93,2
random,200,96,4
random,200,97,3
random,200,98,7
random,200,99,3
random,200,100,3
random,200,101,9
random,200,102,7
random,200,105,1
random,200,115,2
random,200,117,11
random,200,118,1
random,200,122,7
random,200,124,2
random,200,127,1
random,200,129,1
random,200,131,4
random,200,133,3
random,200,135,1
random,200,136,2
random,200,138,6
random,200,140,1
random,200,142,2
random,200,144,2
random,200,145,1
random,200,148,2
random,200,149,1
random,200,150,1
random,200,152,1
random,200,153,5
random,200,155,1
random,200,156,3
random,200,158,1
random,200,159,1
random,200,168,1
random,200,169,1
random,200,172,2
random,200,175,6
random,500,0,1
random,500,1,3
random,500,2,3
random,500,3,1
random,500,4,1
random,500,6,1
random,500,14,2
random,500,16,1
random,500,17,7
random,500,18,7
random,500,19,12
random,500,23,4
random,500,24,1
random,500,25,9
random,500,26,1
random,500,27,3
random,500,28,1
random,500,29,11
random,500,31,1
random,500,32,1
random,500,37,1
random,500,38,1
random,500,39,1
random,500,41,1
random,500,42,1
random,500,43,2
random,500,44,1
random,500,45,1
random,500,46,5
random,500,48,2
random,500,49,12
random,500,50,1
random,500,51,4
random,500,52,1
random,500,53,4
random,500,54,6
random,500,55,5
random,500,56,5
random,500,57,1
random,500,59,1
random,500,60,10
random,500,61,6
random,500,62,5
random,500,65,2
random,500,66,2
random,500,71,13
random,500,72,1
random,500,73,1
random,500,74,1
random,500,75,1
random,500,77,4
random,500,78,7
random,500,79,1
random,500,81,2
random,500,82,11
random,500,84,1
random,500,86,7
random,500,87,2
random,500,90,1
random,500,91,2
random,500,92,2
random,500,93,7
random,500,96,15
random,500,97,5
random,500,98,16
random,500,99,7
random,500,100,4
random,500,101,20
random,500,102,16
random,500,105,5
random,500,108,2
random,500,110,5
random,500,112,1
random,500,115,3
random,500,116,2
random,500,117,26
random,500,118,1
random,500,122,13
random,500,124,6
random,500,125,1
random,500,126,1
random,500,127,2
random,500,128,1
random,500,129,4
random,500,130,1
random,500,131,8
random,500,132,2
random,500,133,12
random,500,135,1
random,500,136,5
random,500,138,9
random,500,140,6
random,500,141,1
random,500,142,6
random,500,143,1
random,500,144,2
random,500,145,2
random,500,148,4
random,500,149,9
random,500,150,1
random,500,152,2
random,500,153,21
random,500,154,1
random,500,155,3
random,500,156,6
random,500,158,3
random,500,159,3
random,500,165,1
random,500,168,2
random,500,169,2
random,500,170,1
random,500,172,2
random,500,175,11
random,1000,0,1
random,1000,1,4
random,1000,2,5
random,1000,3,1
random,1000,4,1
random,1000,6,2
random,1000,14,5
random,1000,16,1
random,1000,17,12
random,1000,18,17
random,1000,19,18
random,1000,23,6
random,1000,24,2
random,1000,25,23
random,1000,26,1
random,1000,27,6
random,1000,28,3
random,1000,29,23
random,1000,31,1
random,1000,32,1
random,1000,37,2
random,1000,38,1
random,1000,39,2
random,1000,40,1
random,1000,41,1
random,1000,42,2
random,1000,43,3
random,1000,44,1
random,1000,45,2
random,1000,46,10
random,1000,48,4
random,1000,49,30
random,1000,50,2
random,1000,51,7
random,1000,52,1
random,1000,53,5
random,1000,54,10
random,1000,55,7
random,1000,56,10
random,1000,57,1
random,1000,59,5
random,1000,60,28
random,1000,61,10
random,1000,62,7
random,1000,63,5
random,1000,64,1
random,1000,65,4
random,1000,66,2
random,1000,68,1
random,1000,71,25
random,1000,72,4
random,1000,73,2
random,1000,74,2
random,1000,75,2
random,1000,77,10
random,1000,78,10
random,1000,79,2
random,1000,80,1
random,1000,81,4
random,1000,82,24
random,1000,83,6
random,1000,84,2
random,1000,86,10
random,1000,87,3
random,1000,90,3
random,1000,91,2
random,1000,92,2
random,1000,93,17
random,1000,95,1
random,1000,96,36
random,1000,97,15
random,1000,98,32
random,1000,99,14
random,1000,100,8
random,1000,101,37
random,1000,102,24
random,1000,105,6
random,1000,106,2
random,1000,107,2
random,1000,108,3
random,1000,110,6
random,1000,111,1
random,1000,112,2
random,1000,113,2
random,1000,115,14
random,1000,116,3
random,1000,117,48
random,1000,118,3
random,1000,120,2
random,1000,122,27
random,1000,123,2
random,1000,124,8
random,1000,125,2
random,1000,126,2
random,1000,127,4
random,1000,128,2
random,1000,129,7
random,1000,130,4
random,1000,131,13
random,1000,132,8
random,1000,133,21
random,1000,134,3
random,1000,135,2
random,1000,136,14
random,1000,138,13
random,1000,140,20
random,1000,141,1
random,1000,142,9
random,1000,143,2
random,1000,144,3
random,1000,145,2
random,1000,146,2
random,1000,147,1
random,1000,148,5
random,1000,149,26
random,1000,150,1
random,1000,152,2
random,1000,153,37
random,1000,154,1
random,1000,155,5
random,1000,156,11
random,1000,158,7
random,1000,159,4
random,1000,160,1
random,1000,163,2
random,1000,165,2
random,1000,166,2
random,1000,168,2
random,1000,169,2
random,1000,170,2
random,1000,171,1
random,1000,172,4
random,1000,174,1
random,1000,175,17
random,1000,176,3
margin,200,1,1
margin,200,2,3
margin,200,6,2
margin,200,9,1
margin,200,13,1
margin,200,16,1
margin,200,18,2
margin,200,19,5
margin,200,21,1
margin,200,24,2
margin,200,25,13
margin,200,26,1
margin,200,28,1
margin,200,29,4
margin,200,32,1
margin,200,40,1
margin,200,41,1
margin,200,46,1
margin,200,48,1
margin,200,49,2
margin,200,52,1
margin,200,56,9
margin,200,57,1
margin,200,60,4
margin,200,61,1
margin,200,66,1
margin,200,67,3
margin,200,71,5
margin,200,72,3
margin,200,73,1
margin,200,75,3
margin,200,78,1
margin,200,82,3
margin,200,83,2
margin,200,86,4
margin,200,93,3
margin,200,96,7
margin,200,97,7
margin,200,101,16
margin,200,102,2
margin,200,103,1
margin,200,105,1
margin,200,108,1
margin,200,115,1
margin,200,117,10
margin,200,122,7
margin,200,124,3
margin,200,127,4
margin,200,129,4
margin,200,132,2
margin,200,136,2
margin,200,138,3
margin,200,139,2
margin,200,140,3
margin,200,142,1
margin,200,147,1
margin,200,149,5
margin,200,152,1
margin,200,153,7
margin,200,154,2
margin,200,158,1
margin,200,159,1
margin,200,162,1
margin,200,168,1
margin,200,170,1
margin,200,171,1
margin,200,175,10
margin,200,176,1
margin,500,1,1
margin,500,2,4
margin,500,6,5
margin,500,9,3
margin,500,10,1
margin,500,13,2
margin,500,14,5
margin,500,16,2
margin,500,18,6
margin,500,19,11
margin,500,21,1
margin,500,24,4
margin,500,25,22
margin,500,26,2
margin,500,27,1
margin,500,28,5
margin,500,29,9
margin,500,32,1
margin,500,40,1
margin,500,41,1
margin,500,42,1
margin,500,43,1
margin,500,46,6
margin,500,48,2
margin,500,49,7
margin,500,51,1
margin,500,52,1
margin,500,53,1
margin,500,54,1
margin,500,56,20
margin,500,57,1
margin,500,60,9
margin,500,61,4
margin,500,66,3
margin,500,67,3
margin,500,68,1
margin,500,71,13
margin,500,72,3
margin,500,73,1
margin,500,75,5
margin,500,77,8
margin,500,78,2
margin,500,80,1
margin,500,81,1
margin,500,82,9
margin,500,83,3
margin,500,84,1
margin,500,86,11
margin,500,90,2
margin,500,93,9
margin,500,96,19
margin,500,97,15
margin,500,98,1
margin,500,99,3
margin,500,100,1
margin,500,101,36
margin,500,102,7
margin,500,103,1
margin,500,105,4
margin,500,108,1
margin,500,110,1
margin,500,112,1
margin,500,115,3
margin,500,116,2
margin,500,117,29
margin,500,118,1
margin,500,122,19
margin,500,124,4
margin,500,127,4
margin,500,129,10
margin,500,131,2
margin,500,132,4
margin,500,133,2
margin,500,134,1
margin,500,135,2
margin,500,136,5
margin,500,137,1
margin,500,138,7
margin,500,139,3
margin,500,140,11
margin,500,141,2
margin,500,142,2
margin,500,143,3
margin,500,147,2
margin,500,148,2
margin,500,149,11
margin,500,152,1
margin,500,153,20
margin,500,154,3
margin,500,155,4
margin,500,156,2
margin,500,158,2
margin,500,159,2
margin,500,162,1
margin,500,164,2
margin,500,168,3
margin,500,170,1
margin,500,171,1
margin,500,172,1
margin,500,175,15
margin,500,176,1
margin,500,177,1
margin,1000,1,3
margin,1000,2,7
margin,1000,6,8
margin,1000,9,4
margin,1000,10,3
margin,1000,11,1
margin,1000,12,1
margin,1000,13,2
margin,1000,14,11
margin,1000,16,4
margin,1000,17,1
margin,1000,18,9
margin,1000,19,23
margin,1000,21,1
margin,1000,23,1
margin,1000,24,10
margin,1000,25,46
margin,1000,26,2
margin,1000,27,1
margin,1000,28,10
margin,1000,29,24
margin,1000,32,3
margin,1000,33,1
margin,1000,34,1
margin,1000,36,1
margin,1000,38,1
margin,1000,40,1
margin,1000,41,2
margin,1000,42,1
margin,1000,43,2
margin,1000,45,2
margin,1000,46,10
margin,1000,47,1
margin,1000,48,5
margin,1000,49,17
margin,1000,50,1
margin,1000,51,2
margin,1000,52,2
margin,1000,53,3
margin,1000,54,7
margin,1000,56,46
margin,1000,57,2
margin,1000,60,20
margin,1000,61,5
margin,1000,63,1
margin,1000,66,4
margin,1000,67,6
margin,1000,68,2
margin,1000,69,2
margin,1000,71,19
margin,1000,72,5
margin,1000,73,6
margin,1000,74,2
margin,1000,75,10
margin,1000,77,12
margin,1000,78,7
margin,1000,79,3
margin,1000,80,3
margin,1000,81,1
margin,1000,82,21
margin,1000,83,11
margin,1000,84,1
margin,1000,86,22
margin,1000,90,2
margin,1000,93,14
margin,1000,94,1
margin,1000,96,29
margin,1000,97,19
margin,1000,98,1
margin,1000,99,8
margin,1000,100,10
margin,1000,101,64
margin,1000,102,13
margin,1000,103,4
margin,1000,104,3
margin,1000,105,7
margin,1000,108,1
margin,1000,109,1
margin,1000,110,6
