method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance,period,input_dir,delta_macro_f1_vs_static,delta_collapse_f1_vs_static,delta_stable_f1_vs_static
active_head_ft,absorber_margin,1000,all,5,2,890,35,1000,0.7690910595521718,0.6633591310121445,0.4662363934110394,0.3681447041737947,31143,0.9037295878029497,0.8495398021053692,204902,3,1,2890,0.19846628606319427,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.02024600346344485,0.11001847610039084,-0.059446501123895934
static,,0,all,5,2,890,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.0,0.0,0.0
active_head_ft,random,200,all,5,2,890,2,21,0.7343286762911031,0.6042918396831006,0.19479616482470907,0.11633276100391454,27326,0.9205671004078462,0.8494596941829652,144172,8,4,1290,0.16552788019180298,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.024355243817314243,0.08875619387957318,-0.05331094277460113
active_head_ft,random,500,all,5,2,890,9,41,0.7663057565999536,0.6305428700450889,0.3405181878064847,0.1550313871753071,27326,0.9302915961490442,0.8615116637363043,144172,8,3,1890,0.1663004606962204,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.0018957865446740385,0.12745482005096573,-0.04125897322126204
active_head_ft,random,1000,all,5,2,890,19,87,0.7833360665463045,0.6434998515208891,0.5333382126912098,0.21398316137887377,27326,0.9303540215853286,0.8709543875202652,144172,7,3,2890,0.1635056585073471,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.014852768020474194,0.1864065942545324,-0.0318162494373011
active_head_ft,margin,200,all,5,2,890,10,36,0.7492920726495566,0.6167775172758355,0.3302715362658274,0.12492895679870436,27326,0.9218502899314708,0.8527133718163243,144172,8,4,1290,0.19158145785331726,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.011869566224579353,0.097352389674363,-0.05005726514124198
active_head_ft,margin,500,all,5,2,890,20,82,0.7717537931831905,0.6372518301458762,0.36426846227036525,0.16708895639832744,27326,0.9402380489970313,0.8750938207738731,144172,5,5,1890,0.18453998863697052,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.008604746645461292,0.13951238927398607,-0.02767681618369322
active_head_ft,margin,1000,all,5,2,890,39,155,0.7914729801115302,0.6603899155742335,0.476322915904267,0.242597992173782,27326,0.9312973392891823,0.8744742732668265,144172,4,3,2890,0.18442761898040771,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.03174283207381867,0.21502142504944063,-0.028296363690739845
active_head_ft,absorber_random,200,all,5,2,890,18,200,0.6954253572133017,0.5970230696451337,0.36379272487740616,0.184469788049592,27326,0.9217393113780762,0.8380814980232021,144172,5,4,1290,0.177294060587883,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.03162401385528113,0.15689322092525063,-0.06468913893436423
active_head_ft,absorber_random,500,all,5,2,890,37,500,0.7007562560977729,0.6077694805861905,0.5609675766669107,0.28137775117951164,27326,0.9168770635074772,0.8453537289441219,144172,4,2,1890,0.1801198124885559,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.020877602914224358,0.25380118405517027,-0.057416908013444456
active_head_ft,absorber_random,1000,all,5,2,890,76,1000,0.7307457741630511,0.6174603351926503,0.5812413086437824,0.29779276139611394,27326,0.9104611158893544,0.8513240436420197,144172,3,2,2890,0.17961828410625458,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.01118674830776456,0.27021619427177257,-0.051446593315546574
active_head_ft,absorber_margin,200,all,5,2,890,13,200,0.7173293511553933,0.607924753248944,0.3109858742589475,0.17065222107866226,27326,0.9238479038925728,0.8563216682910655,144172,5,5,1290,0.20104551315307617,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.020722330251470855,0.1430756539543209,-0.046448968666500834
active_head_ft,absorber_margin,500,all,5,2,890,37,500,0.7327325806795347,0.6237898757128477,0.4834223816145795,0.26000709897901847,27326,0.9183059123824321,0.8626509051139625,144172,3,2,1890,0.1994195431470871,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,-0.004857207787567153,0.2324305318546771,-0.040119731843603845
active_head_ft,absorber_margin,1000,all,5,2,890,76,1000,0.7601639625491884,0.6398577423596012,0.5896216057966771,0.34999811048463075,27326,0.9099270316011431,0.8559294679360928,144172,3,2,2890,0.19974380731582642,M-2022-12,outputs/collapse_active_replay_tls22_M-2022-12_all_r5_tr2,0.011210658859186373,0.3224215433602894,-0.046841169021473505
